device_serial,start_date,end_date,duration_time,duration_day,min_temp,max_temp,mean_temp,std_temp,min_humi,max_humi,mean_humi,std_humi,min_acc,max_acc,mean_acc,std_acc,q1_temp,q3_temp,temp_start,temp_end,q1_humi,q3_humi,humi_start,humi_end,q1_acc,q3_acc,acc_start,acc_end,ta_min,ta_max,ta_mean,ta_std,ta_q1,ta_q3,ws1_min,ws1_max,ws1_mean,ws1_std,ws1_q1,ws1_q3,ws10_min,ws10_max,ws10_mean,ws10_std,ws10_q1,ws10_q3,hm_min,hm_max,hm_mean,hm_std,hm_q1,hm_q3,alert_temp_sum,alert_humi_sum,alert_acc_sum,broken_yn
VC6M6034,2024-11-23 13:51:32,2025-01-08 16:11:32,1106.33,46.00,-5.50,21.30,12.81,51.31,32.00,87.00,53.30,8.78,0.88,1.81,1.16,0.10,7.50,20.10,-11.40,39.00,46.00,60.00,25.00,81.00,1.06,1.21,0.84,1.43,-7.10,13.60,2.89,4.84,-1.00,6.70,0.00,15.10,3.93,2.93,1.70,5.40,0.20,13.90,3.85,2.83,1.60,5.20,28.00,93.80,64.72,16.15,54.00,79.50,0,6,12,1
VC6M6035,2024-11-27 11:37:00,2024-12-03 03:47:00,136.17,5.00,3.90,14.70,11.04,10.05,57.00,68.00,64.65,3.02,1.00,1.44,1.03,0.07,8.70,13.70,1.20,21.20,62.00,67.00,54.50,74.50,1.00,1.00,1.00,1.00,2.00,17.30,11.92,4.33,9.50,15.10,0.30,5.60,2.92,1.07,2.20,3.70,0.50,6.90,2.95,0.91,2.30,3.60,40.00,89.40,60.20,9.94,53.70,65.20,0,0,34,0
VC6M6036,2024-11-18 16:02:08,2025-01-17 16:12:08,1440.17,60.00,-13.40,11.00,-0.20,13.38,22.00,69.00,59.74,5.33,0.90,1.70,0.95,0.05,-2.60,2.50,-10.25,10.15,58.00,64.00,49.00,73.00,0.93,0.94,0.92,0.95,-15.20,9.00,-1.73,4.70,-5.50,2.48,-99.50,6.60,1.99,3.29,1.30,2.60,0.00,6.30,2.10,1.11,1.40,2.60,-99.20,90.60,63.96,15.60,51.20,78.50,28,26,77,1
VC6M6037,2024-11-20 21:12:00,2024-11-21 10:22:00,13.17,0.00,4.60,9.70,6.71,2.89,59.00,71.00,66.03,3.20,1.10,1.51,1.14,0.10,5.00,8.50,-0.25,13.75,63.00,68.00,55.50,75.50,1.10,1.10,1.10,1.10,3.80,9.30,6.55,1.63,5.10,8.40,0.00,1.70,1.12,0.46,1.00,1.40,0.00,1.50,1.14,0.51,0.98,1.50,-99.20,99.90,80.32,45.78,88.30,94.50,0,0,7,1
VC6M6038,2024-12-13 01:07:35,2025-01-23 11:27:35,994.33,41.00,-10.80,6.70,0.11,11.08,40.00,91.00,58.87,7.72,0.93,5.33,1.01,0.09,-1.80,2.50,-8.25,8.95,53.00,64.00,36.50,80.50,1.00,1.01,0.98,1.02,-15.20,8.60,-1.65,4.70,-4.70,2.00,0.00,7.40,1.98,1.25,1.10,2.60,0.00,6.60,1.96,1.14,1.20,2.50,-99.20,93.80,68.79,16.73,55.50,83.10,79,5,347,1
VC6M6039,2024-11-15 13:21:49,2025-01-02 14:41:49,1153.33,48.00,-5.30,23.20,2.17,10.55,54.00,64.00,58.58,2.20,0.86,1.56,0.96,0.08,0.30,4.00,-5.25,9.55,57.00,60.00,52.50,64.50,0.86,1.00,0.65,1.21,-99.90,21.40,-0.58,10.30,-2.80,2.90,-99.90,7.70,0.94,9.71,0.90,2.40,-99.90,7.20,0.93,9.69,1.00,2.40,-99.90,90.50,65.73,21.62,56.80,79.10,14,0,5,1
VC6M603A,2024-11-23 23:22:04,2025-01-14 12:22:04,1237.00,51.00,-13.00,19.00,3.16,47.76,41.00,86.00,58.24,8.12,0.88,1.98,0.98,0.06,-1.50,8.70,-16.80,24.00,52.00,66.00,31.00,87.00,0.96,1.00,0.90,1.06,-99.90,17.30,0.79,13.75,-2.80,7.10,-99.90,9.70,1.10,12.06,1.20,3.60,-99.90,9.60,1.08,12.03,1.30,3.50,-99.90,98.20,64.81,25.26,54.80,79.70,0,0,363,1
VC6M603C,2024-11-28 09:20:00,2025-01-04 09:10:00,887.83,36.00,-3.40,5.60,0.92,4.25,58.00,67.00,61.82,1.54,1.00,1.40,1.00,0.02,-0.80,2.30,-5.45,6.95,61.00,63.00,58.00,66.00,1.00,1.00,1.00,1.00,-99.90,10.10,-2.17,20.06,-1.30,4.00,-99.90,5.60,-1.91,19.82,0.90,2.90,-99.90,6.50,-1.92,19.82,0.90,2.90,-99.90,96.20,60.12,35.41,54.30,76.70,0,2,6,0
VC6M603D,2024-11-24 01:23:16,2025-01-09 07:13:16,1109.83,46.00,-5.70,20.60,5.65,38.39,36.00,73.00,55.76,7.25,0.88,1.51,1.07,0.11,0.30,10.20,-14.55,25.05,52.00,61.00,38.50,74.50,0.95,1.11,0.71,1.35,-13.40,16.10,3.69,5.93,-1.30,7.40,-99.50,10.20,-1.94,22.31,1.30,4.40,-99.90,10.20,-2.05,22.36,1.40,4.20,35.40,98.20,65.44,16.11,54.20,78.00,0,6,3,1
VC6M6040,2024-12-13 09:47:09,2024-12-14 15:17:09,29.50,1.00,-0.90,6.50,2.18,4.58,46.00,58.00,53.65,4.11,1.00,1.30,1.01,0.04,0.00,3.90,-5.85,9.75,50.25,56.00,41.62,64.62,1.00,1.00,1.00,1.00,-1.10,5.30,1.64,1.94,-0.20,3.00,0.30,7.00,2.93,1.57,1.60,3.80,0.50,6.50,2.92,1.52,1.73,3.70,38.50,80.90,55.89,8.62,50.30,62.00,0,0,12,0
VC6M6041,2024-11-26 16:26:34,2024-12-19 08:06:34,543.67,22.00,-5.10,11.00,-1.99,11.04,41.00,67.00,41.62,2.86,1.00,1.35,1.04,0.07,-4.00,-0.90,-8.65,3.75,41.00,41.00,41.00,41.00,1.02,1.02,1.02,1.02,-6.40,7.90,-3.36,3.02,-5.80,-2.90,0.00,9.30,2.45,1.94,1.50,2.50,0.00,6.90,2.31,1.93,1.30,2.60,48.20,96.70,63.15,9.09,58.90,72.20,5,20,31,0
VC6M6043,2024-12-14 20:06:10,2025-01-18 23:26:10,843.33,35.00,-12.80,10.20,-0.79,21.88,38.00,95.00,57.54,11.22,0.93,1.51,1.00,0.05,-3.90,1.88,-12.56,10.54,49.00,63.75,26.88,85.88,0.99,1.01,0.96,1.04,-15.20,7.20,-2.71,4.79,-6.10,0.80,0.00,7.40,1.97,1.32,1.00,2.60,0.00,6.60,1.99,1.22,1.10,2.60,-99.20,93.40,64.81,17.71,51.80,79.40,15,72,359,1
VC6M6046,2024-11-20 09:05:34,2024-11-20 10:25:34,1.33,0.00,4.80,6.60,5.56,0.44,60.00,62.00,60.78,0.67,0.91,1.30,1.07,0.14,4.90,6.00,3.25,7.65,60.00,61.00,58.50,62.50,1.00,1.20,0.70,1.50,2.10,6.60,4.43,1.95,2.60,6.60,0.60,1.90,1.31,0.57,0.60,1.90,0.90,2.30,1.66,0.68,0.90,2.30,76.50,88.40,80.98,5.56,76.50,88.30,0,0,0,0
VC6M6049,2024-11-27 14:10:50,2024-12-03 05:10:50,135.00,5.00,-1.80,13.10,6.71,15.96,58.00,69.00,64.50,2.08,1.00,1.40,1.01,0.04,2.60,10.20,-8.80,21.60,63.00,66.00,58.50,70.50,1.00,1.00,1.00,1.00,-1.60,17.30,6.04,4.52,1.80,10.00,0.00,7.80,2.64,1.48,1.60,3.40,0.30,6.30,2.58,1.22,1.80,3.20,35.50,98.50,70.09,17.68,57.10,88.40,0,3,36,0
VC6M604F,2024-11-15 13:48:47,2024-11-23 09:58:47,188.17,7.00,4.10,26.60,23.75,3.73,24.00,86.00,39.45,8.53,1.02,1.28,1.07,0.01,22.90,24.90,19.90,27.90,31.00,45.00,10.00,66.00,1.07,1.07,1.07,1.07,1.30,24.10,11.97,6.40,6.50,16.80,0.00,5.20,2.57,1.20,1.90,3.40,0.20,4.90,2.53,1.11,1.70,3.40,22.40,92.10,53.89,19.51,39.75,67.80,2,2,35,0
VC6M6050,2024-11-21 09:46:26,2025-01-18 00:46:26,1383.00,57.00,-11.10,14.50,-0.19,9.54,40.00,69.00,59.21,3.73,0.95,1.22,1.01,0.03,-2.40,2.40,-9.60,9.60,57.00,62.00,49.50,69.50,1.02,1.02,1.02,1.02,-13.60,12.90,-1.64,4.26,-5.00,2.32,0.00,6.60,2.01,1.20,1.20,2.60,0.00,5.70,2.03,1.06,1.40,2.50,35.80,90.60,64.79,14.43,51.80,78.50,10,2,184,0
VC6M6051,2024-12-01 01:22:46,2024-12-02 18:52:46,41.50,1.00,2.70,12.40,6.88,8.32,65.00,85.00,72.86,4.61,1.00,1.60,1.01,0.05,4.40,9.00,-2.50,15.90,70.00,75.00,62.50,82.50,1.00,1.00,1.00,1.00,1.40,15.40,6.78,3.99,3.60,9.40,-99.50,5.70,-24.38,44.52,-99.50,2.60,-99.90,6.30,-24.46,44.72,-99.90,2.80,72.80,97.90,89.80,8.05,83.10,97.50,0,8,8,1
VC6M6052,2024-12-03 01:51:30,2024-12-03 03:01:30,1.17,0.00,2.40,3.30,2.75,0.11,67.00,68.00,67.67,0.52,1.10,1.30,1.19,0.07,2.53,2.88,2.00,3.40,67.25,68.00,66.12,69.12,1.13,1.21,1.02,1.33,-1.50,1.60,-0.32,1.30,-1.38,0.58,0.80,3.80,2.28,1.24,1.38,3.25,1.20,3.50,2.02,1.11,1.25,2.90,61.30,78.10,68.70,7.51,63.53,75.07,0,0,0,0
