device_serial,start_date,end_date,duration_time,duration_day,min_temp,max_temp,mean_temp,std_temp,min_humi,max_humi,mean_humi,std_humi,min_acc,max_acc,mean_acc,std_acc,q1_temp,q3_temp,temp_start,temp_end,q1_humi,q3_humi,humi_start,humi_end,q1_acc,q3_acc,acc_start,acc_end,item_shock,alert_temp_sum,alert_humi_sum,alert_acc_sum,broken_yn
VC6M601F,2024-12-14 09:22:34,2024-12-17 03:52:34,66.50,2.00,-0.50,17.70,3.27,8.07,36.00,62.00,55.40,4.77,0.91,1.77,1.01,0.08,1.50,4.30,-2.70,8.50,53.00,59.00,44.00,68.00,0.99,0.99,0.99,0.99,1,22,11,82,1
VC6M6020,2024-11-28 15:20:29,2024-12-03 13:20:29,118.00,4.00,-1.00,15.30,4.80,7.94,56.00,69.00,63.82,2.56,0.94,1.36,1.02,0.05,3.10,6.15,-1.48,10.73,62.00,66.00,56.00,72.00,1.00,1.02,0.97,1.05,0,31,0,191,0
VC6M6020,2024-11-28 15:20:29,2024-12-03 13:20:29,118.00,4.00,-1.00,15.30,4.80,7.94,56.00,69.00,63.82,2.56,0.94,1.36,1.02,0.05,3.10,6.15,-1.48,10.73,62.00,66.00,56.00,72.00,1.00,1.02,0.97,1.05,0,31,0,191,0
VC6M6021,2024-11-28 15:18:03,2024-12-03 13:18:03,118.00,4.00,2.80,16.80,8.44,17.11,57.00,83.00,63.41,6.20,0.86,1.70,1.04,0.08,5.10,11.85,-5.03,21.98,59.75,64.00,53.38,70.38,1.02,1.04,0.99,1.08,1,0,23,54,1
VC6M6021,2024-11-28 15:18:03,2024-12-03 13:18:03,118.00,4.00,2.80,16.80,8.44,17.11,57.00,83.00,63.41,6.20,0.86,1.70,1.04,0.08,5.10,11.85,-5.03,21.98,59.75,64.00,53.38,70.38,1.02,1.04,0.99,1.08,0,0,23,54,1
VC6M6021,2024-11-28 15:18:03,2024-12-03 13:18:03,118.00,4.00,2.80,16.80,8.44,17.11,57.00,83.00,63.41,6.20,0.86,1.70,1.04,0.08,5.10,11.85,-5.03,21.98,59.75,64.00,53.38,70.38,1.02,1.04,0.99,1.08,1,0,23,54,1
VC6M6021,2024-11-28 15:18:03,2024-12-03 13:18:03,118.00,4.00,2.80,16.80,8.44,17.11,57.00,83.00,63.41,6.20,0.86,1.70,1.04,0.08,5.10,11.85,-5.03,21.98,59.75,64.00,53.38,70.38,1.02,1.04,0.99,1.08,0,0,23,54,1
VC6M6023,2024-12-03 13:47:28,2024-12-04 09:37:28,19.83,0.00,0.30,12.50,4.85,9.56,31.00,57.00,48.92,6.03,1.00,1.31,1.01,0.04,3.63,5.07,1.45,7.25,49.00,52.75,43.38,58.38,1.00,1.00,1.00,1.00,0,35,18,2,0
VC6M6023,2024-12-03 13:47:28,2024-12-04 09:37:28,19.83,0.00,0.30,12.50,4.85,9.56,31.00,57.00,48.92,6.03,1.00,1.31,1.01,0.04,3.63,5.07,1.45,7.25,49.00,52.75,43.38,58.38,1.00,1.00,1.00,1.00,0,35,18,2,0
VC6M6026,2024-12-04 09:52:52,2024-12-04 11:02:52,1.17,0.00,4.10,7.50,6.23,2.11,47.00,59.00,51.50,5.54,1.12,1.31,1.22,0.06,5.23,7.23,2.22,10.23,47.25,56.00,34.12,69.12,1.20,1.23,1.17,1.26,0,0,0,2,0
VC6M6026,2024-12-04 09:52:52,2024-12-04 11:02:52,1.17,0.00,4.10,7.50,6.23,2.11,47.00,59.00,51.50,5.54,1.12,1.31,1.22,0.06,5.23,7.23,2.22,10.23,47.25,56.00,34.12,69.12,1.20,1.23,1.17,1.26,0,0,0,2,0
VC6M6027,2024-11-17 02:26:02,2025-01-14 13:06:02,1402.67,58.00,-9.10,15.50,1.14,13.64,49.00,76.00,56.68,4.29,0.89,1.47,0.99,0.03,-0.80,3.20,-6.80,9.20,54.00,59.00,46.50,66.50,0.99,1.00,0.98,1.02,0,182,148,646,0
VC6M6027,2024-11-17 02:26:02,2025-01-14 13:06:02,1402.67,58.00,-9.10,15.50,1.14,13.64,49.00,76.00,56.68,4.29,0.89,1.47,0.99,0.03,-0.80,3.20,-6.80,9.20,54.00,59.00,46.50,66.50,0.99,1.00,0.98,1.02,0,182,148,646,0
VC6M6028,2024-11-28 17:21:43,2024-12-03 13:11:43,115.83,4.00,-3.00,16.90,5.12,17.17,51.00,81.00,60.91,5.14,0.90,1.44,1.01,0.04,2.30,7.90,-6.10,16.30,58.00,64.00,49.00,73.00,1.00,1.00,1.00,1.00,0,8,25,172,0
VC6M6028,2024-11-28 17:21:43,2024-12-03 13:11:43,115.83,4.00,-3.00,16.90,5.12,17.17,51.00,81.00,60.91,5.14,0.90,1.44,1.01,0.04,2.30,7.90,-6.10,16.30,58.00,64.00,49.00,73.00,1.00,1.00,1.00,1.00,0,8,25,172,0
VC6M6029,2024-11-28 14:27:52,2024-12-03 13:17:52,118.83,4.00,3.50,17.10,8.73,17.08,56.00,84.00,64.03,7.24,0.90,1.66,1.03,0.07,5.10,12.43,-5.89,23.41,60.00,65.00,52.50,72.50,1.02,1.04,0.99,1.07,0,0,28,53,1
VC6M6029,2024-11-28 14:27:52,2024-12-03 13:17:52,118.83,4.00,3.50,17.10,8.73,17.08,56.00,84.00,64.03,7.24,0.90,1.66,1.03,0.07,5.10,12.43,-5.89,23.41,60.00,65.00,52.50,72.50,1.02,1.04,0.99,1.07,0,0,28,53,1
VC6M6029,2024-11-28 14:27:52,2024-12-03 13:17:52,118.83,4.00,3.50,17.10,8.73,17.08,56.00,84.00,64.03,7.24,0.90,1.66,1.03,0.07,5.10,12.43,-5.89,23.41,60.00,65.00,52.50,72.50,1.02,1.04,0.99,1.07,1,0,28,53,1
VC6M6029,2024-11-28 14:27:52,2024-12-03 13:17:52,118.83,4.00,3.50,17.10,8.73,17.08,56.00,84.00,64.03,7.24,0.90,1.66,1.03,0.07,5.10,12.43,-5.89,23.41,60.00,65.00,52.50,72.50,1.02,1.04,0.99,1.07,1,0,28,53,1
