device_datetime,device_serial,transport_uuid,influx_insert_time,temperature,humidity,mkt,lat,lon,lbstime,shock,battery,src,exp,acc,accx,accy,accz,tiltx,tilty,tiltz,motion,ap,dw_inserted_at,dw_updated_at
2024-12-07 12:48:49,VC6M6019,,2024-12-07 12:48:39.095,0.6,47.0,1.3657E-16,,,1733575260000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.4,-86.6,0.5,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 12:58:49,VC6M6019,,2024-12-07 13:01:31.125,0.3,48.0,1.3120E-16,,,1733575680000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.2,-86.8,0.4,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 13:01:00,VC6M6019,,2024-12-07 13:01:31.132,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 13:08:00,VC6M6019,,2024-12-07 13:08:39.44,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 13:08:49,VC6M6019,,2024-12-07 13:08:38.435,0.4,47.0,1.3297E-16,,,1733576460000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.4,-86.6,0.5,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 13:18:49,VC6M6019,,2024-12-07 13:21:27.952,0.1,48.0,1.2774E-16,,,1733576880000,0.0,,,0.0,1.0,-0.2,-1.0,0.0,-3.7,-86.2,0.4,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 13:21:00,VC6M6019,,2024-12-07 13:21:27.951,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 13:28:00,VC6M6019,,2024-12-07 13:28:40.387,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 13:28:49,VC6M6019,,2024-12-07 13:28:40.388,0.1,48.0,1.2774E-16,,,1733577660000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.4,-86.6,0.5,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 13:38:49,VC6M6019,,2024-12-07 13:48:44.413,0.0,48.0,1.2604E-16,,,1733578080000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.6,-86.3,0.5,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 13:41:00,VC6M6019,,2024-12-07 13:48:44.414,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 13:48:00,VC6M6019,,2024-12-07 13:48:44.414,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 13:48:49,VC6M6019,,2024-12-07 13:48:44.413,0.4,47.0,1.3297E-16,,,1733578860000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-4.1,-85.9,0.4,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 13:58:49,VC6M6019,,2024-12-07 14:01:28.179,0.0,48.0,1.2604E-16,,,1733579280000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.7,-86.2,0.4,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 14:01:00,VC6M6019,,2024-12-07 14:01:29.182,,,,37.292079,126.835119,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 14:08:00,VC6M6019,,2024-12-07 14:08:38.678,,,,37.292079,126.835119,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
